Name,Number of Births,,
Alexandru,13,,
Caiden,13,,
Donncha,13,,
Eamon,13,,
Ian,13,,
Jeremiah,13,,
Kaiden,13,,
Leighton,13,,
Leonardo,13,,
Matteo,13,,
Morgan,13,,
Mylo,13,,
Tim,13,,
Tony,13,,
Vlad,13,,
Leona,12,,
Abi,12,,
Shona,12,,
Julie,12,,
Jenna,12,,
Cliodhna,12,,
Kacey,12,,
Sally,12,,
Charley,12,,
Miriam,12,,
Madeleine,12,,
Antonina,12,,
Milena,12,,
Jessie,12,,
Addison,12,,
Amira,12,,
Iris,12,,
Kaya,12,,
Polly,12,,
Eilis,12,,
Ewa,12,,
Harriet,12,,
Liadh,12,,
Avery,12,,
Ayda,12,,
Bailey,12,,
Bianka,12,,
Harley,12,,
Khloe,12,,
Skyler,12,,
Violet,12,,
Artur,12,,
Barry,12,,
Craig,12,,
Lorenzo,12,,
Malachy,12,,
Rocco,12,,
Seth,12,,
Wojciech,12,,
Danielle,11,,
Lisa,11,,
Alana,11,,
Keira,11,,
Brianna,11,,
Bronagh,11,,
Elle,11,,
Alesha,11,,
Laila,11,,
Klaudia,11,,
Emilija,11,,
Cleo,11,,
Iseult,11,,
Makayla,11,,
Eireann,11,,
Neala,11,,
Carmen,11,,
Kaja,11,,
Milana,11,,
Norah,11,,
Olive,11,,
Farah,11,,
Matylda,11,,
Anabelle,11,,
Blanka,11,,
Quinn,11,,
Sofija,11,,
Valentina,11,,
Margot,11,,
Abdul,11,,
Alfred,11,,
Benas,11,,
Brooklyn,11,,
Caelan,11,,
Darius,11,,
Finley,11,,
Ignacy,11,,
Jasper,11,,
Jerry,11,,
Kajus,11,,
Odin,11,,
Olaf,11,,
Olan,11,,
Raymond,11,,
Seimi,11,,
Stanislaw,11,,
Troy,11,,
Ultan,11,,
Kelly,10,,
Abbey,10,,
Ashley,10,,
Amanda,10,,
Samantha,10,,
Karina,10,,
Meghan,10,,
Tiffany,10,,
Greta,10,,
Ayesha,10,,
Alexia,10,,
Mai,10,,
Miya,10,,
Rita,10,,
Aida,10,,
Emelia,10,,
Kitty,10,,
Lila,10,,
Zahra,10,,
Alina,10,,
Adelina,10,,
Alba,10,,
Eibhlin,10,,
Kaia,10,,
Seoidin,10,,
Vivien,10,,
Anaya,10,,
Meadow,10,,
Pennie,10,,
Bill,10,,
Carl,10,,
Danielius,10,,
Devin,10,,
Domas,10,,
Eduard,10,,
Ellis,10,,
Gary,10,,
Lincoln,10,,
Mohamed,10,,
Nojus,10,,
Preston,10,,
Remy,10,,
Roan,10,,
Rossa,10,,
Rua,10,,
Tymoteusz,10,,
Angel,9,,
Yasmin,9,,
Marie,9,,
Daniella,9,,
Carrie,9,,
Erika,9,,
Serena,9,,
Jenny,9,,
Anne,9,,
Eileen,9,,
Gabriele,9,,
Lauryn,9,,
Magdalena,9,,
Vivienne,9,,
Kyla,9,,
Mary-Kate,9,,
Hope,9,,
Kacie,9,,
Michalina,9,,
Selena,9,,
Elaina,9,,
Bobbi,9,,
Leja,9,,
Mara,9,,
Sonia,9,,
Mariana,9,,
Nova,9,,
Rylee,9,,
Ajay,9,,
Andrei,9,,
Aryan,9,,
Ashton,9,,
Barra,9,,
Bartosz,9,,
Beau,9,,
Brayden,9,,
Cuan,9,,
Dovydas,9,,
Emmanuel,9,,
Hamza,9,,
Hubert,9,,
Kajetan,9,,
Matt,9,,
Peadar,9,,
Rafael,9,,
Rogan,9,,
Shaun,9,,
Spencer,9,,
Viktor,9,,
Warren,9,,
Zak,9,,
Stephanie,8,,
Christina,8,,
Dearbhla,8,,
Eadaoin,8,,
Keela,8,,
Meadhbh,8,,
Linda,8,,
Ailish,8,,
Joy,8,,
Andreea,8,,
Kaci,8,,
Mikayla,8,,
Evelina,8,,
Myah,8,,
Adele,8,,
Mabel,8,,
Nelly,8,,
Reiltin,8,,
Billie,8,,
Iga,8,,
Joyce,8,,
Kinga,8,,
Regan,8,,
Giulia,8,,
Kylie,8,,
Leia,8,,
Rosanna,8,,
Audrey,8,,
Aurelia,8,,
Belle,8,,
Ieva,8,,
Kourtney,8,,
Lily-Mae,8,,
Reeva,8,,
Saorlaith,8,,
Viktoria,8,,
Aibhin,8,,
Bea,8,,
Esmae,8,,
Ahmad,8,,
Aleks,8,,
Arham,8,,
Bodhi,8,,
Callan,8,,
Casper,8,,
Colton,8,,
Damien,8,,
Dennis,8,,
Dion,8,,
Domantas,8,,
Dominykas,8,,
Eddie,8,,
Emil,8,,
Ferdia,8,,
Fred,8,,
Hassan,8,,
Jace,8,,
Jeremy,8,,
Karl,8,,
Karol,8,,
Kaylum,8,,
Kealan,8,,
Keegan,8,,
Laurence,8,,
Lochlainn,8,,
Luka,8,,
Maksim,8,,
Marco,8,,
Maurice,8,,
Miguel,8,,
Nico,8,,
Pierce,8,,
Rayan,8,,
Riain,8,,
Tomasz,8,,
Blathnaid,7,,
Ann,7,,
Jorja,7,,
Kiera,7,,
Sandra,7,,
Lucie,7,,
Mairead,7,,
Patrycja,7,,
Kasey,7,,
Lorna,7,,
Paulina,7,,
Caitriona,7,,
Dominika,7,,
Alisa,7,,
Clare,7,,
Enya,7,,
Mariam,7,,
Marta,7,,
Angela,7,,
Halle,7,,
Dayna,7,,
Seren,7,,
Tamara,7,,
Aliyah,7,,
Aoileann,7,,
Jana,7,,
Kali,7,,
Kira,7,,
Philomena,7,,
Theresa,7,,
Veronika,7,,
Crystal,7,,
Eryn,7,,
Julianna,7,,
Lina,7,,
Anais,7,,
Darci,7,,
Delia,7,,
Fodhla,7,,
Jagoda,7,,
Lily-Rose,7,,
Samira,7,,
May,7,,
Alesia,7,,
Allison,7,,
Alma,7,,
Autumn,7,,
Eirinn,7,,
Aibhlinn,7,,
Alia,7,,
Aubree,7,,
Beau,7,,
Eala,7,,
Harlow,7,,
Ide,7,,
Indi,7,,
Joni,7,,
Kaiya,7,,
Kendall,7,,
Kenzie,7,,
Lilianna,7,,
Luka,7,,
Macie,7,,
Marcelina,7,,
Rebeca,7,,
Esmee,7,,
Mckenzie,7,,
Nel,7,,
Zoya,7,,
Tuiren,7,,
Aedan,7,,
Antonio,7,,
Axel,7,,
Ayaan,7,,
Brogan,7,,
Con,7,,
Cristian,7,,
Cruz,7,,
Culainn,7,,
Daryl,7,,
Derek,7,,
Dexter,7,,
Dominick,7,,
Emanuel,7,,
Emilis,7,,
Emmett,7,,
Finian,7,,
Fintan,7,,
Fionnan,7,,
Francisco,7,,
Gerald,7,,
Igor,7,,
Isaiah,7,,
Jim,7,,
Keith,7,,
Kenneth,7,,
Krystian,7,,
Leonard,7,,
Markus,7,,
Maximus,7,,
Maxwell,7,,
Ned,7,,
Patrik,7,,
River,7,,
Rodrigo,7,,
Rokas,7,,
Roman,7,,
Tajus,7,,
Travis,7,,
Tyrese,7,,
Youssef,7,,
Zayn,7,,
Zion,7,,
Chelsea,6,,
Edel,6,,
Elisha,6,,
Caroline,6,,
Gabija,6,,
Demi,6,,
Simone,6,,
Susan,6,,
Caoilinn,6,,
Ashleigh,6,,
Jamie,6,,
Orlagh,6,,
Johanna,6,,
Shonagh,6,,
Winnie,6,,
Genevieve,6,,
Kimberly,6,,
Laragh,6,,
Rosemary,6,,
Elisa,6,,
Izabella,6,,
Milly,6,,
Gloria,6,,
Sylvia,6,,
Tanya,6,,
Aleena,6,,
Aliya,6,,
Estera,6,,
Georgina,6,,
Kadie,6,,
Amina,6,,
Cait,6,,
Ellie-May,6,,
Honor,6,,
Kaylee,6,,
Rebeka,6,,
Aedin,6,,
Anastazja,6,,
Bebhinn,6,,
Etain,6,,
Izzy,6,,
Khadija,6,,
Amelia-Rose,6,,
Barbara,6,,
Camille,6,,
Caoileann,6,,
Croia,6,,
Dakota,6,,
Elia,6,,
Ella-Rose,6,,
Emmy,6,,
Georgie,6,,
Lacie,6,,
Macy,6,,
Melody,6,,
Pixie,6,,
Realtin,6,,
Rozalia,6,,
Teja,6,,
Vilte,6,,
Vivian,6,,
Avah,6,,
Ava-rose,6,,
Constance,6,,
Einin,6,,
Elora,6,,
Emmeline,6,,
Kady,6,,
Kyah,6,,
Liadain,6,,
Maisey,6,,
Marianna,6,,
Mina,6,,
Roxanne,6,,
Santanna,6,,
Wren,6,,
Abraham,6,,
Aj,6,,
Amir,6,,
Armandas,6,,
Asher,6,,
Braxton,6,,
Cadan,6,,
Cal,6,,
Caoimhin,6,,
Chase,6,,
Chris,6,,
Clayton,6,,
Colman,6,,
Conal,6,,
Dermot,6,,
Dorian,6,,
Drew,6,,
Enzo,6,,
Erikas,6,,
Eugene,6,,
Fiach,6,,
Gabrielius,6,,
Gerry,6,,
Glen,6,,
Jared,6,,
Joao,6,,
Jokubas,6,,
Jules,6,,
Kelvin,6,,
Kirill,6,,
Kristian,6,,
Kyron,6,,
Lucca,6,,
Malik,6,,
Mathew,6,,
Micah,6,,
Milan,6,,
Neil,6,,
Nick,6,,
Nikita,6,,
Prince,6,,
Ralph,6,,
Se,6,,
Taylor,6,,
Timur,6,,
Tommie,6,,
Usman,6,,
Yannis,6,,
Yusuf,6,,
Zain,6,,
Rachael,5,,
Nadine,5,,
Tegan,5,,
Chantelle,5,,
Avril,5,,
Jill,5,,
Rihanna,5,,
Kamile,5,,
Josephine,5,,
Caitlyn,5,,
Jemma,5,,
Joanne,5,,
Isobelle,5,,
Jasmin,5,,
Brid,5,,
Stacey,5,,
Daniela,5,,
Precious,5,,
Tianna,5,,
Alexandria,5,,
Katelynn,5,,
Noemi,5,,
Zainab,5,,
Dara,5,,
Iona,5,,
Morgan,5,,
Agata,5,,
Jess,5,,
Judy,5,,
Katrina,5,,
Mary Kate,5,,
Monica,5,,
Paula,5,,
Aela,5,,
Elsa,5,,
Judith,5,,
Romy,5,,
Alessia,5,,
Carley,5,,
Lainey,5,,
Abigael,5,,
Aifric,5,,
Astrid,5,,
Cecilia,5,,
Katarzyna,5,,
Agnes,5,,
Amara,5,,
Ariya,5,,
Arwen,5,,
Barbora,5,,
Cailin,5,,
Cali,5,,
Cassidy,5,,
Daire,5,,
Elija,5,,
Ella Rose,5,,
Felicity,5,,
Liana,5,,
Lily Rose,5,,
Marley,5,,
Miah,5,,
Minnie,5,,
Nika,5,,
Rhona,5,,
Sile,5,,
Talia,5,,
Urszula,5,,
Adalynn,5,,
Adeline,5,,
Aubrey,5,,
